,Name,SMILES,Molweight,calcPM1,calcPM2,calcPM3,calcNPR1,calcNPR2,calcCrippenLopP,calcCrippenMR,calcLipinskiFractionCSP3,calcLipinskiHeavyAtomCount,calcLipinskiNHOHCount,calcLipinskiNOCount,calcLipinskiNumAliphaticCarbocycles,calcLipinskiNumAliphaticHeterocycles,calcLipinskiNumAliphaticRings,calcLipinskiNumAromaticCarbocycles,calcLipinskiNumAromaticHeterocycles,calcLipinskiNumAromaticRings,calcLipinskiNumHAcceptors,calcLipinskiNumHDonors,calcLipinskiNumHeteroatoms,calcLipinskiNumRotatableBonds,calcLipinskiNumSaturatedCarbocycles,calcLipinskiNumSaturatedHeterocycles,calcLipinskiNumSaturatedRings,calcLipinskiRingCount,calcAsphericity,calcEccentricity,calcInertialShapeFactor,calcRadiusOfGyration,calcSpherocityIndex,calcTPSA
0,,,330.18310931199994,1320.639905420432,2182.593868532619,2956.816786138798,0.4466424540104863,0.7381566144931121,3.715200000000002,92.28700000000005,0.55,24,0,4,1,1,2,0,0,0,4,0,4,1,0,0,0,2,0.19263089019683685,0.894712533876379,0.0005589385959514198,3.2584565544279065,0.2377906023699772,60.44
1,,,330.18310931199994,1320.639905420432,2182.593868532619,2956.816786138798,0.4466424540104863,0.7381566144931121,3.715200000000002,92.28700000000005,0.55,24,0,4,1,1,2,0,0,0,4,0,4,1,0,0,0,2,0.19263089019683685,0.894712533876379,0.0005589385959514198,3.2584565544279065,0.2377906023699772,60.44
2,,,337.131408088,940.0158285456305,3598.9100031106764,4407.470866860624,0.21327783142335094,0.8165476555206652,3.5901000000000023,98.65280000000004,0.25,25,1,5,0,1,1,2,1,3,5,1,5,1,0,0,0,4,0.49343386687433705,0.9769915898426929,0.0008686530914952867,3.749240460589201,0.04608647557497485,60.690000000000005
3,,,308.162373868,1263.4032442506764,1561.305353332385,2229.343253253175,0.5667154407052624,0.700343184502452,1.9786,78.77480000000004,0.7647058823529411,22,1,5,2,1,3,0,0,0,5,1,5,1,1,0,1,3,0.11494617772246235,0.8239135933253197,0.0005543306839597559,2.9819926285624474,0.35127762925096234,72.83000000000001
4,,,431.3399443,1470.5966211322711,6154.756093966981,6907.040810735016,0.21291268741986438,0.8910843677658855,3.6781000000000024,121.25240000000008,1.0,31,3,4,4,2,6,0,0,0,4,3,4,0,4,2,6,6,0.4930355973163146,0.9770712295097278,0.000605933914821458,4.337012369851924,0.14450643585142167,63.93
5,,,378.1678531719999,1465.695324659694,3804.1616399674035,4047.8771663955285,0.36208987190311326,0.9397917682751367,0.4764,93.12740000000002,0.7,27,3,7,4,1,5,0,0,0,7,3,7,4,3,1,4,5,0.2809366791761094,0.9321431889281748,0.0006411917623421075,3.6369511560285614,0.41100481654794796,113.29000000000002
6,,,189.10010796,469.3667327194571,571.1793357179474,917.3257950993418,0.5116685208537355,0.6226570088504833,-2.4820999999999995,44.00520000000002,1.0,13,4,5,0,2,2,0,0,0,5,4,5,1,0,2,2,2,0.17262085338322236,0.8591829402213189,0.0013265895630115918,2.371313505676957,0.1777309462709815,84.16000000000001
7,,,336.193673996,1736.4919234509546,3652.5969592766223,4931.241625119933,0.3521409120585774,0.7407053308177304,4.049600000000003,92.70230000000005,0.5789473684210527,24,1,5,0,0,0,1,0,1,5,1,5,11,0,0,0,1,0.2912952716250264,0.9359469953232146,0.00042655270710716375,4.091783715590487,0.12576020173168204,72.83
8,,,733.6798860920001,7676.592170441022,7980.824367225692,9192.557938289554,0.8350877113829096,0.868183200019153,5.6003000000000025,132.33449999999996,0.35,31,0,6,0,5,5,1,1,2,5,0,11,0,0,2,2,7,0.012498380588454804,0.5501168187732984,0.00011309487084153327,4.131921809600166,0.7242595319982944,58.440000000000005
9,,,610.15338488,4410.035878277002,10052.763048541081,11751.872240530152,0.3752624082371794,0.8554180000247841,-1.6870999999999994,140.196,0.4444444444444444,43,10,16,0,2,2,2,1,3,16,10,16,6,0,2,2,5,0.2579416309879882,0.9269186183069323,0.0001939707575256724,4.752674089518152,0.310070423780774,269.42999999999995
