,Name,SMILES,Molweight,calcPM1,calcPM2,calcPM3,calcNPR1,calcNPR2,calcCrippenLopP,calcCrippenMR,calcLipinskiFractionCSP3,calcLipinskiHeavyAtomCount,calcLipinskiNHOHCount,calcLipinskiNOCount,calcLipinskiNumAliphaticCarbocycles,calcLipinskiNumAliphaticHeterocycles,calcLipinskiNumAliphaticRings,calcLipinskiNumAromaticCarbocycles,calcLipinskiNumAromaticHeterocycles,calcLipinskiNumAromaticRings,calcLipinskiNumHAcceptors,calcLipinskiNumHDonors,calcLipinskiNumHeteroatoms,calcLipinskiNumRotatableBonds,calcLipinskiNumSaturatedCarbocycles,calcLipinskiNumSaturatedHeterocycles,calcLipinskiNumSaturatedRings,calcLipinskiRingCount,calcAsphericity,calcEccentricity,calcInertialShapeFactor,calcRadiusOfGyration,calcSpherocityIndex
0,,,62.036779432,21.469362246110062,77.00106851087665,93.18872343136594,0.23038583913988667,0.8262916979175963,-1.0290000000000001,14.171600000000002,1.0,4,2,2,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0.46222327965271903,0.9730993603552569,0.038487016449094025,1.3079111240011316,0.0967572237680729
1,,,106.06299418,92.0897935316194,294.9272052112837,361.17234478552166,0.25497465368314937,0.8165830232279359,-1.0124,24.99059999999999,1.0,7,2,3,0,0,0,0,0,0,3,2,3,4,0,0,0,0,0.42136309557604185,0.966947736942984,0.008867247844871742,1.9736149425256664,0.10570651687464788
2,,,150.089208928,138.4188882185339,1176.5318726443081,1269.744395546279,0.10901319092570776,0.9265895378401191,-0.9958000000000002,35.809599999999996,1.0,10,2,4,0,0,0,0,0,0,4,2,4,7,0,0,0,0,0.7083936091015832,0.9940403031085787,0.006694097530802529,3.081919150243058,0.05669545305441487
3,,,194.115423676,338.9020455364244,1937.0999746872749,2136.237900106117,0.15864433709353695,0.9067810165670452,-0.979199999999999,46.62860000000003,1.0,13,2,5,0,0,0,0,0,0,5,2,5,10,0,0,0,0,0.5983511669754344,0.9873357961241718,0.002675643385780587,3.539613538590354,0.09608076108747293
4,,,238.141638424,858.6024398800414,1839.2221009829018,2469.3727827758203,0.34770061688089354,0.744813465918027,-0.9625999999999986,57.44760000000005,1.0,16,2,6,0,0,0,0,0,0,6,2,6,13,0,0,0,0,0.2961270811064753,0.9376056105957591,0.0008674718721065918,3.4576507395711857,0.12880477225133308
5,,,282.16785317200004,1176.9861597498905,2038.9320922353884,2994.205005251633,0.39308803428139905,0.6809594161586262,-0.9459999999999973,68.26660000000005,1.0,19,2,7,0,0,0,0,0,0,7,2,7,16,0,0,0,0,0.2571087960687055,0.9195008413834028,0.0005785619571799639,3.4818425355178486,0.10721073041405733
6,,,326.19406791999995,2176.965803941881,2451.7562765717253,2647.8559903048235,0.8221617081566686,0.9259401891752719,-0.929399999999996,79.08560000000006,1.0,22,2,8,0,0,0,0,0,0,8,2,8,19,0,0,0,0,0.012680317991477239,0.5692540080147956,0.00042533520163644793,3.5050616674629045,0.8291290231080959
7,,,370.2202826679999,2356.940810365865,2847.201474566794,3282.3393851538017,0.718067370189212,0.8674305550013627,-0.912799999999995,89.90460000000007,1.0,25,2,9,0,0,0,0,0,0,9,2,9,22,0,0,0,0,0.03571386878501417,0.6959735999803076,0.00036803238807966185,3.5528044300950614,0.681233140521889
8,,,414.2464974159999,1661.193429914094,7703.459165963742,8861.754505068851,0.1874564939667314,0.8692927750997194,-0.8961999999999937,100.72360000000008,1.0,28,2,10,0,0,0,0,0,0,10,2,10,25,0,0,0,0,0.5400252006139526,0.9822729065131038,0.0005232941326674242,4.921903180665129,0.085932320962085
9,,,458.27271216399987,3120.3037684314904,6201.0665975498705,7797.7509852715475,0.4001543232561728,0.7952378332242839,-0.8795999999999924,111.54260000000009,1.0,31,2,11,0,0,0,0,0,0,11,2,11,28,0,0,0,0,0.23147828839209045,0.9164477713320025,0.0002548591073951857,4.534923902882299,0.26541383925771594
