,Name,SMILES,Molweight,calcPM1,calcPM2,calcPM3,calcNPR1,calcNPR2,calcCrippenLopP,calcCrippenMR,calcLipinskiFractionCSP3,calcLipinskiHeavyAtomCount,calcLipinskiNHOHCount,calcLipinskiNOCount,calcLipinskiNumAliphaticCarbocycles,calcLipinskiNumAliphaticHeterocycles,calcLipinskiNumAliphaticRings,calcLipinskiNumAromaticCarbocycles,calcLipinskiNumAromaticHeterocycles,calcLipinskiNumAromaticRings,calcLipinskiNumHAcceptors,calcLipinskiNumHDonors,calcLipinskiNumHeteroatoms,calcLipinskiNumRotatableBonds,calcLipinskiNumSaturatedCarbocycles,calcLipinskiNumSaturatedHeterocycles,calcLipinskiNumSaturatedRings,calcLipinskiRingCount,calcAsphericity,calcEccentricity,calcInertialShapeFactor,calcRadiusOfGyration,calcSpherocityIndex
0,,,235.136099544,854.5718813682934,1150.0991959774456,1726.435893255197,0.49499195695995235,0.6661696507067703,4.294580000000003,74.33500000000004,0.23529411764705882,18,0,1,0,0,0,2,0,2,1,0,1,4,0,0,0,2,0.16947543209243662,0.8688975558401327,0.0007795361223916427,2.9240342167334834,0.22924794769620477
1,,,468.256549024,3323.3679407455475,7620.134166509185,10075.028927287072,0.32986187580509896,0.7563386886037534,8.514060000000004,146.64999999999978,0.23529411764705882,36,0,2,0,0,0,4,0,4,2,0,2,10,0,0,0,4,0.3172341391427081,0.9440292065875617,0.00022758198974323626,4.90738106091564,0.12519264580040645
2,,,701.3769985039999,7402.4173996821,12349.703022987787,13218.151235616937,0.5600191182361368,0.9342988140210505,12.733539999999978,218.96499999999932,0.23529411764705882,54,0,3,0,0,0,6,0,6,3,0,3,16,0,0,0,6,0.108648553609658,0.8284796842470067,0.0001262153650051096,5.018387994622536,0.6020076298058775
3,,,934.4974479839999,14794.906430720133,20277.132901543053,25487.045811422566,0.5804873008895162,0.7955858459066849,16.953019999999967,291.28,0.23529411764705882,72,0,4,0,0,0,8,0,8,4,0,4,22,0,0,0,8,0.09353749986180045,0.8142693003583055,5.377430736937484e-05,5.890107991394692,0.47515832183983564
4,,,1167.6178974639997,17977.009642175595,34109.17426638144,36625.7105622503,0.4908303311036453,0.9312904444108552,21.17250000000001,363.59500000000105,0.23529411764705882,90,0,5,0,0,0,10,0,10,5,0,5,28,0,0,0,10,0.15612943637099969,0.8712551785032246,5.180452494312338e-05,6.376311493633446,0.5237990835468709
5,,,1400.7383469439999,32502.331370392552,37990.837868918585,51387.58598866674,0.632493835720572,0.7392999133545067,25.391980000000054,435.9100000000015,0.23529411764705882,108,0,6,0,0,0,12,0,12,6,0,6,34,0,0,0,12,0.07623729554062217,0.7745653928336057,2.274605796518214e-05,6.8226884989578185,0.4674906053079606
6,,,1633.8587964239998,36529.53102783799,61375.91594955014,77012.42235138392,0.47433297009104597,0.796961244375755,29.611460000000093,508.22500000000196,0.23529411764705882,126,0,7,0,0,0,14,0,14,7,0,7,40,0,0,0,14,0.16346491914073363,0.88034551937555,2.1816903254750688e-05,7.567138266500147,0.3561126455074538
7,,,1866.9792459039998,46128.25309797028,63885.209535303075,73397.33096938013,0.6284731677397649,0.8704023523955481,33.83094000000007,580.5400000000024,0.23529411764705882,144,0,8,0,0,0,16,0,16,8,0,8,46,0,0,0,16,0.06833584968187226,0.7778312653983158,1.8869180901928567e-05,7.24821474270137,0.5947575710922343
8,,,2100.099695384,46257.043445297415,123676.6892031698,129869.05538689699,0.35618218140950975,0.95231838589047,38.050419999999974,652.8550000000029,0.23529411764705882,162,0,9,0,0,0,18,0,18,9,0,9,52,0,0,0,18,0.2897834329328587,0.934416531128577,2.0587532513111465e-05,8.736956613991403,0.39601115993427427
9,,,2333.220144864,65308.33910952547,136150.28982566684,159431.13637977105,0.40963352951307147,0.8539755339970209,42.26989999999988,725.1700000000035,0.23529411764705882,180,0,10,0,0,0,20,0,20,10,0,10,58,0,0,0,20,0.22143002531119269,0.9122501693607208,1.3076056528782023e-05,9.093914843150815,0.3500765681604963
10,,,2566.340594344,83932.3659178882,131075.16444194413,156728.61453983226,0.5355267521780903,0.8363192951509927,46.489379999999784,797.4850000000041,0.23529411764705882,198,0,11,0,0,0,22,0,22,11,0,11,64,0,0,0,22,0.118387282400258,0.8445182636874031,9.964204940549055e-06,8.800040137104798,0.4643281801927285
